MEGA SENA - COMPLETE NUMBER FREQUENCY ANALYSIS (ALL DRAWS)
======================================================================

Rank | Number | Frequency
------------------------------
   1 |     10 |    345.00
   2 |     53 |    336.00
   3 |      5 |    322.00
   4 |     37 |    321.00
   5 |     34 |    320.00
   6 |     33 |    316.00
   7 |     38 |    316.00
   8 |      4 |    314.00
   9 |     17 |    312.00
  10 |     27 |    312.00
  11 |     30 |    312.00
  12 |     32 |    312.00
  13 |     11 |    311.00
  14 |     42 |    311.00
  15 |     35 |    310.00
  16 |     44 |    310.00
  17 |     54 |    310.00
  18 |     56 |    310.00
  19 |     23 |    309.00
  20 |     46 |    309.00
  21 |     43 |    308.00
  22 |     16 |    305.00
  23 |     41 |    305.00
  24 |     13 |    304.00
  25 |     28 |    303.00
  26 |     51 |    301.00
  27 |     49 |    300.00
  28 |     36 |    299.00
  29 |     52 |    298.00
  30 |     24 |    296.00
  31 |      2 |    295.00
  32 |      6 |    294.00
  33 |     25 |    294.00
  34 |     29 |    294.00
  35 |      8 |    293.00
  36 |     50 |    290.00
  37 |     45 |    289.00
  38 |      1 |    288.00
  39 |     20 |    288.00
  40 |     14 |    287.00
  41 |     19 |    287.00
  42 |     59 |    285.00
  43 |     39 |    284.00
  44 |     57 |    283.00
  45 |     60 |    283.00
  46 |     58 |    282.00
  47 |      9 |    281.00
  48 |     18 |    281.00
  49 |     47 |    281.00
  50 |     12 |    279.00
  51 |     40 |    279.00
  52 |      7 |    276.00
  53 |     48 |    276.00
  54 |     31 |    274.00
  55 |      3 |    273.00
  56 |     15 |    264.00
  57 |     22 |    263.00
  58 |     55 |    255.00
  59 |     21 |    246.00
  60 |     26 |    243.00
